Instancia,Dimensao,Experimento,Heuristica,EstrategiaBusca,Intensificacao,Diversificacao,CustoInicial,CustoFinal,MelhoriaPercentual,TempoTotal,Iteracoes,DescricaoCenario
X-n613-k62,613,Req3_Ext_savings_first,savings,first,False,False,62773.62775315999,62420.86951082689,0.5619529330377858,600.933513879776,315,Construtiva Estendida (first)
X-n613-k62,613,Req3_Ext_savings_best,savings,best,False,False,62773.62775315999,62373.94385309147,0.6367067100855923,600.2441728115082,254,Construtiva Estendida (best)
X-n613-k62,613,Req3_Ext_cheapest_insertion_first,cheapest_insertion,first,False,False,83399.63992477127,68445.72060925444,17.930436305247447,602.3962736129761,824,Construtiva Estendida (first)
X-n613-k62,613,Req3_Ext_cheapest_insertion_best,cheapest_insertion,best,False,False,83399.63992477127,68540.96798611635,17.81623032432496,600.9176054000854,237,Construtiva Estendida (best)
X-n613-k62,613,Req3_Ext_route_first_cluster_second_first,route_first_cluster_second,first,False,False,66985.39016182297,63069.20997148192,5.8463198928607625,602.0276279449463,593,Construtiva Estendida (first)
X-n613-k62,613,Req3_Ext_route_first_cluster_second_best,route_first_cluster_second,best,False,False,66985.39016182297,62792.569618117624,6.259305997287397,600.9034426212311,187,Construtiva Estendida (best)
X-n701-k44,701,Req3_Ext_savings_first,savings,first,False,False,85458.1615109964,84999.57822307244,0.5366173105244629,603.3551938533783,223,Construtiva Estendida (first)
X-n701-k44,701,Req3_Ext_savings_best,savings,best,False,False,85458.1615109964,84997.85971746173,0.5386282426347807,602.8209297657013,173,Construtiva Estendida (best)
X-n701-k44,701,Req3_Ext_cheapest_insertion_first,cheapest_insertion,first,False,False,91761.11613642985,87905.30924388103,4.202005222796146,603.0400121212006,479,Construtiva Estendida (first)
X-n701-k44,701,Req3_Ext_cheapest_insertion_best,cheapest_insertion,best,False,False,91761.11613642985,87147.18184779999,5.028202012898237,602.444587469101,155,Construtiva Estendida (best)
X-n701-k44,701,Req3_Ext_route_first_cluster_second_first,route_first_cluster_second,first,False,False,90598.1531517393,86526.16969264131,4.494554599008197,603.7176389694214,599,Construtiva Estendida (first)
X-n701-k44,701,Req3_Ext_route_first_cluster_second_best,route_first_cluster_second,best,False,False,90598.1531517393,86611.02636553836,4.400891902865898,602.5261738300323,120,Construtiva Estendida (best)
X-n801-k40,801,Req3_Ext_savings_first,savings,first,False,False,77235.31795903451,76340.61839632476,1.1584073016755063,606.8560070991516,155,Construtiva Estendida (first)
X-n801-k40,801,Req3_Ext_savings_best,savings,best,False,False,77235.31795903451,76472.72993980139,0.9873566127320142,605.4932780265808,62,Construtiva Estendida (best)
X-n801-k40,801,Req3_Ext_cheapest_insertion_first,cheapest_insertion,first,False,False,79973.78094900756,77935.2007699055,2.5490606482665763,600.8152537345886,272,Construtiva Estendida (first)
X-n801-k40,801,Req3_Ext_cheapest_insertion_best,cheapest_insertion,best,False,False,79973.78094900756,78575.91857797568,1.7479008175481612,602.9058773517609,57,Construtiva Estendida (best)
X-n801-k40,801,Req3_Ext_route_first_cluster_second_first,route_first_cluster_second,first,False,False,80658.19952696965,77581.5915790338,3.8143771693132336,605.0565466880798,348,Construtiva Estendida (first)
X-n801-k40,801,Req3_Ext_route_first_cluster_second_best,route_first_cluster_second,best,False,False,80658.19952696965,78386.87648552303,2.8159852994079815,602.566389799118,54,Construtiva Estendida (best)
