Iteration,Time,BestCost,CurrentCost
0,1.3820555210113525,79973.78094900756,79973.78094900756
1,12.205331087112427,79876.0151281983,79876.0151281983
2,23.258790731430054,79812.19084070409,79812.19084070409
3,34.7419855594635,79748.37019159705,79748.37019159705
4,46.08505463600159,79669.82710988239,79669.82710988239
5,57.211684226989746,79608.78899498524,79608.78899498524
6,67.92383527755737,79560.17400596598,79560.17400596598
7,78.8144588470459,79513.60278780494,79513.60278780494
8,89.32448935508728,79467.67109700512,79467.67109700512
9,100.00105285644531,79436.5570495313,79436.5570495313
10,110.56689524650574,79405.79609270477,79405.79609270477
11,122.17478537559509,79379.48556826731,79379.48556826731
12,133.38456749916077,79354.60977320954,79354.60977320954
13,144.70893025398254,79330.14695406285,79330.14695406285
14,156.106379032135,79306.98855350596,79306.98855350596
15,166.50874400138855,79284.18158862265,79284.18158862265
16,176.88666915893555,79262.04435884529,79262.04435884529
17,187.39486145973206,79240.6715196634,79240.6715196634
18,198.41433262825012,79219.36092077644,79219.36092077644
19,209.55665159225464,79198.66189213454,79198.66189213454
20,220.58015179634094,79179.10730121045,79179.10730121045
21,231.32674527168274,79159.74049371351,79159.74049371351
22,241.33333158493042,79140.53598295042,79140.53598295042
23,251.3058099746704,79123.10101630793,79123.10101630793
24,261.1656959056854,79107.1439177062,79107.1439177062
25,271.1061339378357,79084.21382631306,79084.21382631306
26,280.7954144477844,79068.4748709986,79068.4748709986
27,290.75308775901794,79048.04507620638,79048.04507620638
28,301.1240465641022,79018.94898660172,79018.94898660172
29,311.3999009132385,78990.47045141575,78990.47045141575
30,321.7036020755768,78947.99863825658,78947.99863825658
31,332.9469783306122,78917.57143884464,78917.57143884464
32,344.2309012413025,78903.09875051155,78903.09875051155
33,355.42042207717896,78889.83588674886,78889.83588674886
34,366.3468596935272,78865.42474616852,78865.42474616852
35,377.14060044288635,78852.66278261162,78852.66278261162
36,387.83782172203064,78840.013140557,78840.013140557
37,398.83505868911743,78827.8023710996,78827.8023710996
38,409.9683258533478,78815.6882628162,78815.6882628162
39,420.647940158844,78803.91762078844,78803.91762078844
40,431.1043167114258,78792.45323218092,78792.45323218092
41,441.6592161655426,78781.49701497717,78781.49701497717
42,451.5361669063568,78770.55653188145,78770.55653188145
43,461.57127046585083,78745.63121753068,78745.63121753068
44,471.15849685668945,78735.00449402446,78735.00449402446
45,480.91176867485046,78710.93397399873,78710.93397399873
46,490.69264101982117,78685.24312322374,78685.24312322374
47,500.7065682411194,78661.87360298312,78661.87360298312
48,511.6167166233063,78651.35695954207,78651.35695954207
49,521.659096956253,78640.93780131442,78640.93780131442
50,531.8584163188934,78631.76911338886,78631.76911338886
51,541.9619100093842,78622.66868696685,78622.66868696685
52,551.8552086353302,78614.24207262632,78614.24207262632
53,562.1419837474823,78606.19993830951,78606.19993830951
54,572.3809909820557,78598.19315613012,78598.19315613012
55,582.5158038139343,78590.27304637112,78590.27304637112
56,592.6722939014435,78583.02123063272,78583.02123063272
