Iteration,Time,BestCost,CurrentCost
0,0.07951164245605469,68441.10592102245,68441.10592102245
1,0.28553271293640137,68410.76201668808,68410.76201668808
2,0.358534574508667,68410.14303309182,68410.14303309182
3,1.016613245010376,68389.60557877351,68389.60557877351
4,1.0851261615753174,68387.55543668811,68387.55543668811
5,1.0861260890960693,68385.01105372603,68385.01105372603
6,1.1221263408660889,68383.11745963513,68383.11745963513
7,1.185638666152954,68380.5185430123,68380.5185430123
8,1.2296385765075684,68377.69138012746,68377.69138012746
9,1.3091514110565186,68359.5372539424,68359.5372539424
10,1.429663896560669,68347.98234780952,68347.98234780952
11,1.822718858718872,68323.36695368496,68323.36695368496
12,3.8421201705932617,68315.86462208623,68315.86462208623
13,3.8701236248016357,68315.82456593569,68315.82456593569
14,4.375195503234863,68314.41574952958,68314.41574952958
15,5.2623865604400635,68312.65458115464,68312.65458115464
16,6.283026456832886,68300.41627854941,68300.41627854941
17,7.166895389556885,68299.83373686305,68299.83373686305
18,7.488455295562744,68298.02730194175,68298.02730194175
19,8.678605794906616,68277.30233552422,68277.30233552422
20,10.354431629180908,68274.77486646292,68274.77486646292
21,11.624988079071045,68265.41911452397,68265.41911452397
22,12.28358268737793,68251.86119663161,68251.86119663161
23,12.351582765579224,68249.21751109348,68249.21751109348
24,14.32398772239685,68241.91341993777,68241.91341993777
25,18.122339963912964,68241.91341993777,68241.91341993777
26,22.029249668121338,68241.91341993777,68241.91341993777
27,25.884756565093994,68241.91341993777,68241.91341993777
28,29.59080743789673,68241.91341993777,68241.91341993777
29,33.283987283706665,68241.91341993777,68241.91341993777
30,37.0676326751709,68241.91341993777,68241.91341993777
31,40.81825089454651,68241.91341993777,68241.91341993777
32,44.51343035697937,68241.91341993777,68241.91341993777
33,48.529165267944336,68241.91341993777,68241.91341993777
34,52.43731188774109,68241.91341993777,68241.91341993777
35,56.046634674072266,68241.91341993777,68241.91341993777
36,59.87494134902954,68241.91341993777,68241.91341993777
37,63.932756662368774,68241.91341993777,68241.91341993777
38,67.73930525779724,68241.91341993777,68241.91341993777
39,71.26504015922546,68241.91341993777,68241.91341993777
40,74.94985914230347,68241.91341993777,68241.91341993777
41,78.76024413108826,68241.91341993777,68241.91341993777
42,82.8356261253357,68241.91341993777,68241.91341993777
43,86.70493531227112,68241.91341993777,68241.91341993777
44,90.34865283966064,68241.91341993777,68241.91341993777
45,94.12161350250244,68241.91341993777,68241.91341993777
46,97.93437051773071,68241.91341993777,68241.91341993777
47,101.60208034515381,68241.91341993777,68241.91341993777
48,105.27524757385254,68241.91341993777,68241.91341993777
49,109.21497964859009,68241.91341993777,68241.91341993777
50,112.71089887619019,68241.91341993777,68241.91341993777
51,116.64076375961304,68241.91341993777,68241.91341993777
52,120.58343410491943,68241.91341993777,68241.91341993777
53,124.60471391677856,68241.91341993777,68241.91341993777
54,128.36621260643005,68241.91341993777,68241.91341993777
55,132.25164699554443,68241.91341993777,68241.91341993777
56,136.1599018573761,68241.91341993777,68241.91341993777
57,139.81890058517456,68241.91341993777,68241.91341993777
58,143.48067688941956,68241.91341993777,68241.91341993777
59,147.33006286621094,68241.91341993777,68241.91341993777
60,150.98142337799072,68241.91341993777,68241.91341993777
61,154.5600299835205,68241.91341993777,68241.91341993777
62,158.27983927726746,68241.91341993777,68241.91341993777
63,162.34284901618958,68241.91341993777,68241.91341993777
64,165.94521641731262,68241.91341993777,68241.91341993777
65,169.8057165145874,68241.91341993777,68241.91341993777
66,173.51691555976868,68241.91341993777,68241.91341993777
67,177.43650817871094,68241.91341993777,68241.91341993777
68,181.3046715259552,68241.91341993777,68241.91341993777
69,184.9821503162384,68241.91341993777,68241.91341993777
70,188.63799715042114,68241.91341993777,68241.91341993777
71,192.5062358379364,68241.91341993777,68241.91341993777
72,196.25752019882202,68241.91341993777,68241.91341993777
73,200.33933925628662,68241.91341993777,68241.91341993777
74,204.07224702835083,68241.91341993777,68241.91341993777
75,208.22342944145203,68241.91341993777,68241.91341993777
76,211.97103071212769,68241.91341993777,68241.91341993777
77,215.72351336479187,68241.91341993777,68241.91341993779
78,219.45009469985962,68241.91341993777,68241.91341993777
79,223.03609371185303,68241.91341993777,68241.91341993777
80,226.88238382339478,68241.91341993777,68241.91341993777
81,230.65336108207703,68241.91341993777,68241.91341993777
82,234.82116723060608,68241.91341993777,68241.91341993777
83,238.4983103275299,68241.91341993777,68241.91341993777
84,242.13004398345947,68241.91341993777,68241.91341993777
85,245.913667678833,68241.91341993777,68241.91341993777
86,249.78386092185974,68241.91341993777,68241.91341993777
87,253.770174741745,68241.91341993777,68241.91341993777
88,257.6328556537628,68241.91341993777,68241.91341993777
89,261.4904866218567,68241.91341993777,68241.91341993777
90,265.05019903182983,68241.91341993777,68241.91341993777
91,268.9019236564636,68241.91341993777,68241.91341993777
92,272.7202126979828,68241.91341993777,68241.91341993777
93,276.59359645843506,68241.91341993777,68241.91341993777
94,280.4764053821564,68241.91341993777,68241.91341993777
95,284.08916449546814,68241.91341993777,68241.91341993777
96,287.84363198280334,68241.91341993777,68241.91341993777
97,291.6547782421112,68241.91341993777,68241.91341993777
98,295.4211721420288,68241.91341993777,68241.91341993777
99,298.93002581596375,68241.91341993777,68241.91341993777
100,302.63163471221924,68241.91341993777,68241.91341993777
101,306.7593586444855,68241.91341993777,68241.91341993777
102,310.71195435523987,68241.91341993777,68241.91341993777
103,314.4884169101715,68241.91341993777,68241.91341993777
104,318.54352140426636,68241.91341993777,68241.91341993777
105,322.21699810028076,68241.91341993777,68241.91341993779
106,325.9079806804657,68241.91341993777,68241.91341993779
107,329.960444688797,68241.91341993777,68241.91341993779
108,333.745046377182,68241.91341993777,68241.91341993779
109,337.76461911201477,68241.91341993777,68241.91341993779
110,341.59860849380493,68241.91341993777,68241.91341993777
111,345.3356297016144,68241.91341993777,68241.91341993777
112,349.42619037628174,68241.91341993777,68241.91341993777
113,353.1517176628113,68241.91341993777,68241.91341993777
114,357.03972458839417,68241.91341993777,68241.91341993777
115,360.6163876056671,68241.91341993777,68241.91341993777
116,364.42678928375244,68241.91341993777,68241.91341993777
117,368.4505708217621,68241.91341993777,68241.91341993777
118,372.37234115600586,68241.91341993777,68241.91341993779
119,376.17138481140137,68241.91341993777,68241.91341993779
120,379.96793150901794,68241.91341993777,68241.91341993779
121,383.74367094039917,68241.91341993777,68241.91341993779
122,387.5255093574524,68241.91341993777,68241.91341993777
123,391.1825783252716,68241.91341993777,68241.91341993777
124,394.8621506690979,68241.91341993777,68241.91341993777
125,399.0370099544525,68241.91341993777,68241.91341993777
126,402.8311860561371,68241.91341993777,68241.91341993777
127,406.5047872066498,68241.91341993777,68241.91341993777
128,410.45166206359863,68241.91341993777,68241.91341993777
129,413.88333654403687,68241.91341993777,68241.91341993777
130,417.6903395652771,68241.91341993777,68241.91341993777
131,421.5197010040283,68241.91341993777,68241.91341993777
132,425.291622877121,68241.91341993777,68241.91341993777
133,429.18253898620605,68241.91341993777,68241.91341993777
134,432.8440852165222,68241.91341993777,68241.91341993777
135,436.842848777771,68241.91341993777,68241.91341993777
136,440.6449911594391,68241.91341993777,68241.91341993777
137,444.39850544929504,68241.91341993777,68241.91341993777
138,448.31771302223206,68241.91341993777,68241.91341993777
139,452.6116955280304,68241.91341993777,68241.91341993777
140,456.3920590877533,68241.91341993777,68241.91341993777
141,460.2005331516266,68241.91341993777,68241.91341993777
142,464.1862988471985,68241.91341993777,68241.91341993777
143,467.9576315879822,68241.91341993777,68241.91341993777
144,471.91699290275574,68241.91341993777,68241.91341993777
145,475.80920362472534,68241.91341993777,68241.91341993777
146,479.56458616256714,68241.91341993777,68241.91341993777
147,483.4652945995331,68241.91341993777,68241.91341993777
148,487.36735796928406,68241.91341993777,68241.91341993777
149,491.0512025356293,68241.91341993777,68241.91341993777
150,495.00246357917786,68241.91341993777,68241.91341993777
151,498.517471075058,68241.91341993777,68241.91341993777
152,502.27370381355286,68241.91341993777,68241.91341993777
153,505.9760797023773,68241.91341993777,68241.91341993777
154,509.9206726551056,68241.91341993777,68241.91341993777
155,513.8181545734406,68241.91341993777,68241.91341993777
156,517.5243000984192,68241.91341993777,68241.91341993777
157,521.242259979248,68241.91341993777,68241.91341993777
158,525.1590039730072,68241.91341993777,68241.91341993777
159,529.1770000457764,68241.91341993777,68241.91341993777
160,532.8967950344086,68241.91341993777,68241.91341993777
161,536.6516370773315,68241.91341993777,68241.91341993777
162,540.3698637485504,68241.91341993777,68241.91341993777
163,544.4141857624054,68241.91341993777,68241.91341993777
164,548.3949847221375,68241.91341993777,68241.91341993777
165,552.4902276992798,68241.91341993777,68241.91341993777
166,556.3219499588013,68241.91341993777,68241.91341993777
167,560.166915178299,68241.91341993777,68241.91341993777
168,564.0686519145966,68241.91341993777,68241.91341993777
169,567.9276375770569,68241.91341993777,68241.91341993777
170,571.8758862018585,68241.91341993777,68241.91341993777
171,575.7420272827148,68241.91341993777,68241.91341993777
172,579.4980010986328,68241.91341993777,68241.91341993777
173,583.3056797981262,68241.91341993777,68241.91341993777
174,587.068728685379,68241.91341993777,68241.91341993777
175,591.0137097835541,68241.91341993777,68241.91341993777
176,594.8396708965302,68241.91341993777,68241.91341993777
177,598.4859280586243,68241.91341993777,68241.91341993777
178,602.4313163757324,68241.91341993777,68241.91341993777
179,605.8959341049194,68241.91341993777,68241.91341993777
180,609.5700423717499,68241.91341993777,68241.91341993777
181,613.1487486362457,68241.91341993777,68241.91341993777
182,617.1040201187134,68241.91341993777,68241.91341993777
183,620.9743871688843,68241.91341993777,68241.91341993777
184,624.4586000442505,68241.91341993777,68241.91341993777
185,628.2683572769165,68241.91341993777,68241.91341993777
186,632.0681388378143,68241.91341993777,68241.91341993777
187,635.813737154007,68241.91341993777,68241.91341993777
188,639.478922367096,68241.91341993777,68241.91341993777
189,643.1452734470367,68241.91341993777,68241.91341993777
190,647.0060970783234,68241.91341993777,68241.91341993777
191,650.5440731048584,68241.91341993777,68241.91341993777
192,654.1979441642761,68241.91341993777,68241.91341993777
193,658.0109527111053,68241.91341993777,68241.91341993777
194,661.8663227558136,68241.91341993777,68241.91341993777
195,665.5657863616943,68241.91341993777,68241.91341993777
196,669.3616282939911,68241.91341993777,68241.91341993777
197,673.4999620914459,68241.91341993777,68241.91341993777
198,677.3409826755524,68241.91341993777,68241.91341993777
199,681.3095490932465,68241.91341993777,68241.91341993777
200,684.9617359638214,68241.91341993777,68241.91341993777
201,688.7281804084778,68241.91341993777,68241.91341993777
202,692.3769211769104,68241.91341993777,68241.91341993777
203,696.1626536846161,68241.91341993777,68241.91341993777
204,700.076199054718,68241.91341993777,68241.91341993777
205,703.7507774829865,68241.91341993777,68241.91341993777
206,707.6041667461395,68241.91341993777,68241.91341993777
207,711.273921251297,68241.91341993777,68241.91341993777
208,714.9327347278595,68241.91341993777,68241.91341993777
209,718.9559903144836,68241.91341993777,68241.91341993777
210,722.644476890564,68241.91341993777,68241.91341993777
211,726.1672947406769,68241.91341993777,68241.91341993777
212,729.6953406333923,68241.91341993777,68241.91341993777
213,733.6825931072235,68241.91341993777,68241.91341993777
214,737.6024191379547,68241.91341993777,68241.91341993777
215,741.414067029953,68241.91341993777,68241.91341993777
216,745.2186703681946,68241.91341993777,68241.91341993777
217,748.9140450954437,68241.91341993777,68241.91341993777
218,752.6896951198578,68241.91341993777,68241.91341993777
219,756.5392906665802,68241.91341993777,68241.91341993777
220,760.1129353046417,68241.91341993777,68241.91341993777
221,763.9465782642365,68241.91341993777,68241.91341993777
222,767.9143612384796,68241.91341993777,68241.91341993777
223,772.0049319267273,68241.91341993777,68241.91341993777
224,775.8125002384186,68241.91341993777,68241.91341993777
225,779.373083114624,68241.91341993777,68241.91341993777
226,783.1447105407715,68241.91341993777,68241.91341993777
227,786.8726556301117,68241.91341993777,68241.91341993777
228,790.6420392990112,68241.91341993777,68241.91341993777
229,794.504914522171,68241.91341993777,68241.91341993777
230,798.1798548698425,68241.91341993777,68241.91341993777
231,801.8685042858124,68241.91341993777,68241.91341993777
232,805.7959017753601,68241.91341993777,68241.91341993777
233,809.5233955383301,68241.91341993777,68241.91341993777
234,813.2960815429688,68241.91341993777,68241.91341993777
235,817.105208158493,68241.91341993777,68241.91341993777
236,820.7207458019257,68241.91341993777,68241.91341993777
237,824.5206830501556,68241.91341993777,68241.91341993777
238,828.4330594539642,68241.91341993777,68241.91341993777
239,832.1696090698242,68241.91341993777,68241.91341993777
240,836.0422058105469,68241.91341993777,68241.91341993777
241,839.798092842102,68241.91341993777,68241.91341993777
242,843.5797300338745,68241.91341993777,68241.91341993777
243,847.3646986484528,68241.91341993777,68241.91341993777
244,851.1068263053894,68241.91341993777,68241.91341993777
245,854.7732846736908,68241.91341993777,68241.91341993777
246,858.3181285858154,68241.91341993777,68241.91341993777
247,862.2435572147369,68241.91341993777,68241.91341993777
248,866.1265873908997,68241.91341993777,68241.91341993777
249,870.1404650211334,68241.91341993777,68241.91341993777
250,873.5172801017761,68241.91341993777,68241.91341993777
251,877.4753284454346,68241.91341993777,68241.91341993777
252,881.3514511585236,68241.91341993777,68241.91341993777
253,885.0415680408478,68241.91341993777,68241.91341993777
254,888.8722097873688,68241.91341993777,68241.91341993777
255,892.6349678039551,68241.91341993777,68241.91341993777
256,896.332533121109,68241.91341993777,68241.91341993777
257,899.923189163208,68241.91341993777,68241.91341993777
258,903.7472050189972,68241.91341993777,68241.91341993777
259,907.4729466438293,68241.91341993777,68241.91341993777
260,911.062451839447,68241.91341993777,68241.91341993777
261,915.1416482925415,68241.91341993777,68241.91341993779
262,919.0866186618805,68241.91341993777,68241.91341993779
263,922.6733520030975,68241.91341993777,68241.91341993779
264,926.467253446579,68241.91341993777,68241.91341993779
265,930.4961638450623,68241.91341993777,68241.91341993779
266,934.2671871185303,68241.91341993777,68241.91341993779
267,938.1361055374146,68241.91341993777,68241.91341993779
268,941.7141420841217,68241.91341993777,68241.91341993779
269,945.6683402061462,68241.91341993777,68241.91341993779
270,949.3406510353088,68241.91341993777,68241.91341993779
271,953.1831707954407,68241.91341993777,68241.91341993779
272,957.1188111305237,68241.91341993777,68241.91341993779
273,960.5897068977356,68241.91341993777,68241.91341993779
274,964.7404601573944,68241.91341993777,68241.91341993779
275,968.6950323581696,68241.91341993777,68241.91341993779
276,972.5146489143372,68241.91341993777,68241.91341993779
277,976.4604914188385,68241.91341993777,68241.91341993779
278,980.3184804916382,68241.91341993777,68241.91341993779
279,984.2311568260193,68241.91341993777,68241.91341993777
280,988.0954053401947,68241.91341993777,68241.91341993777
281,991.6932573318481,68241.91341993777,68241.91341993777
282,995.4293730258942,68241.91341993777,68241.91341993777
283,999.4288277626038,68241.91341993777,68241.91341993777
284,1003.221408367157,68241.91341993777,68241.91341993777
285,1007.1747698783875,68241.91341993777,68241.91341993777
286,1010.9249465465546,68241.91341993777,68241.91341993777
287,1014.685554265976,68241.91341993777,68241.91341993777
288,1018.2904648780823,68241.91341993777,68241.91341993777
289,1021.9977674484253,68241.91341993777,68241.91341993777
290,1025.9260754585266,68241.91341993777,68241.91341993777
291,1029.8505609035492,68241.91341993777,68241.91341993777
292,1033.6306598186493,68241.91341993777,68241.91341993777
293,1037.4069919586182,68241.91341993777,68241.91341993777
294,1041.109693288803,68241.91341993777,68241.91341993777
295,1044.7731173038483,68241.91341993777,68241.91341993777
296,1048.6355695724487,68241.91341993777,68241.91341993777
297,1052.597605228424,68241.91341993777,68241.91341993777
298,1056.400149345398,68241.91341993777,68241.91341993777
