Instancia,Dimensao,Experimento,Heuristica,EstrategiaBusca,Intensificacao,Diversificacao,CustoInicial,CustoFinal,MelhoriaPercentual,TempoTotal,Iteracoes,DescricaoCenario
X-n401-k29,401,Req3_cheapest_insertion_first,cheapest_insertion,first,False,False,75251.02778797234,69466.18036398348,7.687399885471696,120.44429063796997,457,Construtiva Base (first)
X-n401-k29,401,Req3_cheapest_insertion_best,cheapest_insertion,best,False,False,75251.02778797234,68593.65046530175,8.84689221976935,121.20261240005493,104,Construtiva Base (best)
X-n401-k29,401,Req3_route_first_cluster_second_first,route_first_cluster_second,first,False,False,73156.07061117394,69243.33323339588,5.348479415432713,120.11866450309753,346,Construtiva Base (first)
X-n401-k29,401,Req3_route_first_cluster_second_best,route_first_cluster_second,best,False,False,73156.07061117394,70948.88067631116,3.0170974417065657,120.24601936340332,74,Construtiva Base (best)
X-n401-k29,401,Req4_Base_first,savings,first,False,False,68441.10592102245,68198.6509051068,0.3542535040205669,1800.333906173706,499,Sem Int / Sem Div (first)
X-n401-k29,401,Req4_Int_first,savings,first,True,False,68441.10592102245,68241.91341993777,0.2910422010341758,1800.0937881469727,497,Só Intensificação (first)
X-n401-k29,401,Req4_Div_first,savings,first,False,True,68441.10592102245,68139.26021228106,0.4410298528631303,1800.0468757152557,71001,Só Diversificação (ILS) (first)
X-n401-k29,401,Req4_Full_first,savings,first,True,True,68441.10592102245,68167.44112562067,0.3998544320975436,1803.4048793315887,1222,Completo (ILS + Int) (first)
X-n401-k29,401,Req4_Base_best,savings,best,False,False,68441.10592102245,68067.40814577481,0.5460136422676541,1802.7291028499603,503,Sem Int / Sem Div (best)
X-n401-k29,401,Req4_Int_best,savings,best,True,False,68441.10592102245,68067.40814577481,0.5460136422676541,1802.812403678894,503,Só Intensificação (best)
X-n401-k29,401,Req4_Div_best,savings,best,False,True,68441.10592102245,68067.40814577481,0.5460136422676541,1802.8257203102112,514,Só Diversificação (ILS) (best)
X-n401-k29,401,Req4_Full_best,savings,best,True,True,68441.10592102245,68067.40814577481,0.5460136422676541,1801.6932926177979,518,Completo (ILS + Int) (best)
X-n613-k62,613,Req3_savings_first,savings,first,False,False,62773.62775315999,62467.89697395788,0.4870369773821443,121.78789281845093,99,Construtiva Base (first)
X-n613-k62,613,Req3_savings_best,savings,best,False,False,62773.62775315999,62395.19605046529,0.6028514142639347,120.48745584487915,52,Construtiva Base (best)
X-n613-k62,613,Req3_cheapest_insertion_first,cheapest_insertion,first,False,False,83399.63992477127,69511.73214585638,16.65223949580856,120.49339413642883,548,Construtiva Base (first)
X-n613-k62,613,Req3_cheapest_insertion_best,cheapest_insertion,best,False,False,83399.63992477127,70350.46650241812,15.646558467307365,121.41154599189758,55,Construtiva Base (best)
X-n613-k62,613,Req3_route_first_cluster_second_first,route_first_cluster_second,first,False,False,66985.39016182297,63050.01053828978,5.8749820132809845,121.49030113220215,414,Construtiva Base (first)
X-n613-k62,613,Req3_route_first_cluster_second_best,route_first_cluster_second,best,False,False,66985.39016182297,65155.91443678048,2.731156332183566,121.7297716140747,40,Construtiva Base (best)
X-n613-k62,613,Req4_Base_first,savings,first,False,False,62773.62775315999,62130.28100776054,1.024867875932289,1800.7910664081573,340,Sem Int / Sem Div (first)
X-n613-k62,613,Req4_Int_first,savings,first,True,False,62773.62775315999,62165.682741597455,0.9684720053986894,1802.3051006793976,344,Só Intensificação (first)
X-n613-k62,613,Req4_Div_first,savings,first,False,True,62773.62775315999,62168.893392698825,0.9633573557977537,1804.7160246372223,346,Só Diversificação (ILS) (first)
X-n613-k62,613,Req4_Full_first,savings,first,True,True,62773.62775315999,62200.42174067382,0.9131318883467264,1801.5665152072906,350,Completo (ILS + Int) (first)
X-n613-k62,613,Req4_Base_best,savings,best,False,False,62773.62775315999,62126.04234493956,1.0316201745849112,1804.2490255832672,285,Sem Int / Sem Div (best)
X-n613-k62,613,Req4_Int_best,savings,best,True,False,62773.62775315999,62126.04234493956,1.0316201745849112,1805.7520558834076,285,Só Intensificação (best)
X-n613-k62,613,Req4_Div_best,savings,best,False,True,62773.62775315999,62188.94413685604,0.9314160057836111,1801.6108632087708,284,Só Diversificação (ILS) (best)
X-n613-k62,613,Req4_Full_best,savings,best,True,True,62773.62775315999,62188.94413685603,0.9314160057836227,1802.2059738636017,292,Completo (ILS + Int) (best)
X-n701-k44,701,Req3_savings_first,savings,first,False,False,85458.1615109964,85013.29600587777,0.520565265216234,122.43402171134949,83,Construtiva Base (first)
X-n701-k44,701,Req3_savings_best,savings,best,False,False,85458.1615109964,85047.39624685224,0.4806624164168471,122.14648485183716,37,Construtiva Base (best)
X-n701-k44,701,Req3_cheapest_insertion_first,cheapest_insertion,first,False,False,91761.11613642985,87543.17339669558,4.596655879232174,120.03596782684326,342,Construtiva Base (first)
X-n701-k44,701,Req3_cheapest_insertion_best,cheapest_insertion,best,False,False,91761.11613642985,88294.13209274446,3.778271439648462,121.8045015335083,34,Construtiva Base (best)
X-n701-k44,701,Req3_route_first_cluster_second_first,route_first_cluster_second,first,False,False,90598.1531517393,86366.19133538115,4.671134751798086,120.30742263793945,522,Construtiva Base (first)
X-n701-k44,701,Req3_route_first_cluster_second_best,route_first_cluster_second,best,False,False,90598.1531517393,88905.88967880023,1.8678785538870362,123.05656671524048,26,Construtiva Base (best)
X-n701-k44,701,Req4_Base_first,savings,first,False,False,85458.1615109964,84912.61774047297,0.6383752714516775,1803.9151666164398,238,Sem Int / Sem Div (first)
